X,Y,Name,Emissions,row,col
-753060.894059,-1039343.787386,"FACTORY",10054.987819,6,9
-751459.743051,-1044733.974159,"FACTORY",7990.028529,8,17
-750972.83583,-1046744.343581,"FACTORY",6134.078057,9,19
-750398.6900000001,-1041370.96,"FACTORY",4159.808098,10,12
-750049.955846,-1047293.327662,"FACTORY",5386.87338,10,20
-749721.297554,-1047318.969134,"FACTORY",3255.2812000000004,11,20
-749897.74,-1052339.37,"FACTORY",523598.953109,11,27
-748973.781366,-1043924.452156,"FACTORY",11904.836408,12,15
-748958.722769,-1045536.818991,"FACTORY",3054.823274,12,18
-749057.398725,-1045878.175189,"FACTORY",4031.357315,12,18
-749114.692059,-1047399.538175,"FACTORY",3112.073728,12,20
-748555.085149,-1045931.2107,"FACTORY",4137.238088,13,18
-748328.986689,-1046548.659984,"FACTORY",4008.249346,13,19
-747296.920901,-1041801.071384,"FACTORY",28932.046508,14,12
-747603.701825,-1043719.923232,"FACTORY",3216.830646,14,15
-747409.81929,-1048934.310624,"FACTORY",5103.669789,14,23
-747736.710158,-1056080.976534,"FACTORY",4948.674396,14,33
-744650.726621,-1040039.253961,"FACTORY",22720.694831,18,10
-743966.434929,-1044985.05384,"FACTORY",6845.321864,19,17
-743591.86533,-1040131.526474,"FACTORY",88957.751258,20,10
-742622.783308,-1045898.166019,"FACTORY",2655.543198,21,18
-740954.831933,-1050336.441757,"FACTORY",5242.631198,23,25
-739943,-1047138.18,"FACTORY",3762.35879,25,20
-736898.604477,-1046842.394356,"FACTORY",11289.061994,29,20
-735338.417507,-1037490.18735,"FACTORY",5104.724644,31,6
-735550.03,-1044315.22,"FACTORY",5937.433867,31,16
-735815.270244,-1044902.247372,"FACTORY",3569.658445,31,17
-735719.798619,-1045777.426159,"FACTORY",4219.730149,31,18
-734444.81,-1045131.76,"FACTORY",243914.218326,33,17
-734379.58,-1047209.4,"FACTORY",2997.287712,33,20